(i′) the all-lattice two-layer search with PAIR moves: two scalar channels (any two of the inner coefficients,
the inner exponents, the outer exponent) changed together, A₂ by LS per candidate.  The single-channel greedy of
two_layer_lattice.py stops at a coupled local minimum (v = 2/3, W_a − W_b = 1/3).   python physics/two_layer_pairs.py
  seed 0: rel mse 7.52e-04  steps 1  evals 4550    3.1s  exponents ('1', '1', '2/3')  W_a−W_b 1/3  wrong
  seed 1: rel mse 6.70e-04  steps 1  evals 4550    3.1s  exponents ('1', '1', '2/3')  W_a−W_b 1/3  wrong
  seed 2: rel mse 8.11e-04  steps 1  evals 4550    3.1s  exponents ('1', '1', '2/3')  W_a−W_b 1/3  wrong
  seed 3: rel mse 8.16e-04  steps 1  evals 4550    3.1s  exponents ('1', '1', '2/3')  W_a−W_b 1/3  wrong
  seed 4: rel mse 7.91e-04  steps 1  evals 4550    3.1s  exponents ('1', '1', '2/3')  W_a−W_b 1/3  wrong
  seed 5: rel mse 8.05e-04  steps 1  evals 4550    3.1s  exponents ('1', '1', '2/3')  W_a−W_b 1/3  wrong
  seed 6: rel mse 8.18e-04  steps 1  evals 4550    3.1s  exponents ('1', '1', '2/3')  W_a−W_b 1/3  wrong
  seed 7: rel mse 6.92e-04  steps 1  evals 4550    3.1s  exponents ('1', '1', '2/3')  W_a−W_b 1/3  wrong
  0/8
